[2025/04/22 12:40:57] - Namespace(model='ResNet18', batch_size=512, data_dir='./data', epochs=110, lr_schedule='multistep', milestone1=100, milestone2=105, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, seed=0, save_epoch=1, inner_gamma=0.15, outer_gamma=0.15, beta=0.6, lamda=0.65, batch_m=0.75, epsilon=8, alpha=8, delta_init='random', out_dir='TDAT_CIFAR100', log='CIFAR100.log')
[2025/04/22 12:42:03] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc 	 FGSM Loss 	 FGSM Acc 	 C&W Loss 	 C&W Acc
[2025/04/22 16:19:50] - 55 	 86.7 	 	 0.1000 	 35.9241 	 	 4.3064 	 0.4477 	 3.3792 	 	 0.4411 	 3.5964 	 0.2631 	 3.5573 	 0.3148 	 3.5453 	 0.2218
[2025/04/22 16:23:37] - 56 	 86.7 	 	 0.1000 	 36.2535 	 	 4.3101 	 0.4529 	 3.3718 	 	 0.4521 	 3.6125 	 0.2589 	 3.5701 	 0.3193 	 3.5582 	 0.2144
[2025/04/22 16:27:15] - 57 	 83.2 	 	 0.1000 	 36.5853 	 	 4.3129 	 0.4649 	 3.3113 	 	 0.4433 	 3.5513 	 0.2502 	 3.5003 	 0.3150 	 3.4949 	 0.2131
[2025/04/22 16:30:55] - 58 	 83.2 	 	 0.1000 	 36.9203 	 	 4.3120 	 0.4745 	 3.3287 	 	 0.4550 	 3.5870 	 0.2414 	 3.5222 	 0.3164 	 3.5287 	 0.2024
[2025/04/22 16:34:33] - 59 	 83.2 	 	 0.1000 	 37.2866 	 	 4.2982 	 0.4976 	 3.2769 	 	 0.4669 	 3.6089 	 0.2188 	 3.5014 	 0.3318 	 3.5337 	 0.1789
[2025/04/22 16:38:13] - 60 	 83.3 	 	 0.1000 	 37.6905 	 	 4.2706 	 0.5369 	 3.1029 	 	 0.4964 	 3.4723 	 0.2228 	 3.2645 	 0.3955 	 3.3760 	 0.1796
[2025/04/22 16:42:02] - 61 	 93.6 	 	 0.1000 	 38.1581 	 	 4.2326 	 0.5891 	 3.0195 	 	 0.5080 	 3.4510 	 0.2077 	 3.1473 	 0.4341 	 3.3403 	 0.1679
[2025/04/22 16:45:47] - 62 	 83.5 	 	 0.1000 	 38.5707 	 	 4.2181 	 0.6215 	 2.9215 	 	 0.5375 	 3.4125 	 0.2033 	 3.0493 	 0.4665 	 3.2923 	 0.1583
[2025/04/22 16:49:29] - 63 	 83.6 	 	 0.1000 	 38.9002 	 	 4.2194 	 0.6402 	 2.9906 	 	 0.5177 	 3.4385 	 0.1873 	 3.0285 	 0.4767 	 3.3118 	 0.1471
[2025/04/22 16:53:10] - 64 	 84.6 	 	 0.1000 	 39.1961 	 	 4.2238 	 0.6591 	 3.0563 	 	 0.5136 	 3.4918 	 0.1741 	 3.0652 	 0.4833 	 3.3688 	 0.1361
[2025/04/22 16:56:51] - 65 	 85.4 	 	 0.1000 	 39.4920 	 	 4.2309 	 0.6731 	 2.9220 	 	 0.5559 	 3.4878 	 0.1725 	 3.0057 	 0.5097 	 3.3538 	 0.1348
[2025/04/22 17:00:33] - 66 	 83.6 	 	 0.1000 	 39.7717 	 	 4.2397 	 0.6861 	 2.9849 	 	 0.5422 	 3.4834 	 0.1889 	 3.0631 	 0.4874 	 3.3533 	 0.1510
[2025/04/22 17:04:20] - 67 	 86.8 	 	 0.1000 	 40.0441 	 	 4.2503 	 0.6932 	 3.0311 	 	 0.5419 	 3.5280 	 0.1778 	 3.0823 	 0.4996 	 3.3997 	 0.1396
[2025/04/22 17:08:08] - 68 	 87.0 	 	 0.1000 	 40.3253 	 	 4.2585 	 0.7054 	 3.0615 	 	 0.5393 	 3.5025 	 0.1958 	 3.0575 	 0.5012 	 3.3679 	 0.1552
[2025/04/22 17:11:54] - 69 	 86.8 	 	 0.1000 	 40.6024 	 	 4.2687 	 0.7138 	 3.0811 	 	 0.5411 	 3.5420 	 0.1759 	 3.1402 	 0.4792 	 3.4135 	 0.1376
[2025/04/22 17:15:41] - 70 	 86.8 	 	 0.1000 	 40.8782 	 	 4.2781 	 0.7226 	 3.1792 	 	 0.5253 	 3.5854 	 0.1841 	 3.1764 	 0.4905 	 3.4643 	 0.1432
[2025/04/22 17:19:28] - 71 	 87.1 	 	 0.1000 	 41.1491 	 	 4.2886 	 0.7335 	 3.0803 	 	 0.5588 	 3.5991 	 0.1767 	 3.1586 	 0.4960 	 3.4736 	 0.1390
[2025/04/22 17:23:16] - 72 	 87.1 	 	 0.1000 	 41.4261 	 	 4.2976 	 0.7421 	 3.0970 	 	 0.5519 	 3.5827 	 0.1835 	 3.2080 	 0.4706 	 3.4560 	 0.1443
[2025/04/22 17:27:03] - 73 	 87.0 	 	 0.1000 	 41.6856 	 	 4.3105 	 0.7452 	 3.1385 	 	 0.5392 	 3.6006 	 0.1808 	 3.1815 	 0.4933 	 3.4786 	 0.1400
